Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
1984,12,7.037,6.981,7.006,6.955,
1985,1,6.989,6.981,7.006,6.956,
1985,2,7.062,6.981,7.006,6.956,
1985,3,7.052,6.981,7.006,6.956,
1985,4,7.008,6.982,7.006,6.957,
1985,5,7.007,6.982,7.006,6.957,
1985,6,7.137,6.982,7.007,6.957,
1985,7,7.055,6.982,7.007,6.958,
1985,8,6.999,6.982,7.007,6.958,
1985,9,7.020,6.983,7.007,6.958,
1985,10,7.059,6.983,7.007,6.959,
1985,11,7.025,6.983,7.007,6.959,
1985,12,6.993,6.983,7.008,6.959,
1986,1,6.981,6.984,7.008,6.960,
1986,2,6.967,6.984,7.008,6.960,
1986,3,6.975,6.984,7.008,6.960,
1986,4,7.008,6.984,7.008,6.961,
1986,5,7.006,6.985,7.008,6.961,
1986,6,6.968,6.985,7.008,6.961,
1986,7,7.043,6.985,7.009,6.962,
1986,8,7.062,6.985,7.009,6.962,
1986,9,7.005,6.986,7.009,6.962,
1986,10,6.987,6.986,7.009,6.963,
1986,11,7.004,6.986,7.009,6.963,
1986,12,6.852,6.986,7.009,6.963,
1987,1,6.878,6.987,7.009,6.964,
1987,2,6.945,6.987,7.010,6.964,
1987,3,6.897,6.987,7.010,6.964,
1987,4,6.871,6.987,7.010,6.965,
1987,5,6.914,6.988,7.010,6.965,
1987,6,6.969,6.988,7.010,6.965,
1987,7,7.039,6.988,7.010,6.966,
1987,8,6.951,6.988,7.011,6.966,
1987,10,6.931,6.989,7.011,6.967,
1987,11,7.083,6.989,7.011,6.967,
1987,12,7.079,6.989,7.011,6.967,
1988,1,7.033,6.989,7.011,6.968,
1988,2,7.059,6.990,7.011,6.968,
1988,3,7.016,6.990,7.012,6.968,
1988,4,7.021,6.990,7.012,6.969,
1988,5,7.052,6.990,7.012,6.969,
1988,6,7.037,6.991,7.012,6.969,
1988,7,6.968,6.991,7.012,6.970,
1988,8,6.980,6.991,7.012,6.970,
1988,9,6.995,6.991,7.013,6.970,
1988,10,7.084,6.992,7.013,6.971,
1988,11,7.099,6.992,7.013,6.971,
1988,12,7.029,6.992,7.013,6.971,
1989,1,7.024,6.992,7.013,6.972,
1989,2,7.017,6.993,7.013,6.972,
1989,3,7.031,6.993,7.013,6.972,
1989,4,7.019,6.993,7.014,6.973,
1989,5,7.066,6.993,7.014,6.973,
1989,6,7.054,6.994,7.014,6.973,
1989,7,7.060,6.994,7.014,6.973,
1989,8,7.013,6.994,7.014,6.974,
1989,9,7.000,6.994,7.014,6.974,
1989,10,6.994,6.995,7.015,6.974,
1989,11,7.024,6.995,7.015,6.975,
1989,12,6.894,6.995,7.015,6.975,
1990,1,6.942,6.995,7.015,6.975,
1990,2,6.924,6.995,7.015,6.976,
1990,3,6.919,6.996,7.015,6.976,
1990,4,7.022,6.996,7.016,6.976,
1990,5,7.005,6.996,7.016,6.977,
1990,6,7.046,6.996,7.016,6.977,
1990,7,6.959,6.997,7.016,6.977,
1990,8,7.066,6.997,7.016,6.978,
1990,9,7.015,6.997,7.016,6.978,
1990,10,6.981,6.997,7.016,6.978,
1990,11,6.996,6.998,7.017,6.979,
1990,12,6.943,6.998,7.017,6.979,
1991,1,6.948,6.998,7.017,6.979,
1991,2,7.003,6.998,7.017,6.980,
1991,3,6.969,6.999,7.017,6.980,
1991,4,7.008,6.999,7.017,6.980,
1991,5,6.943,6.999,7.018,6.981,
1991,6,6.997,6.999,7.018,6.981,
1991,7,6.958,7.000,7.018,6.981,
1991,8,6.942,7.000,7.018,6.982,
1991,9,7.011,7.000,7.018,6.982,
1991,10,6.992,7.000,7.018,6.982,
1991,11,6.971,7.001,7.019,6.982,
1991,12,6.942,7.001,7.019,6.983,
1992,1,6.925,7.001,7.019,6.983,
1992,2,6.924,7.001,7.019,6.983,
1992,3,6.945,7.001,7.019,6.984,
1992,4,6.948,7.002,7.019,6.984,
1992,5,7.009,7.002,7.020,6.984,
1992,6,7.068,7.002,7.020,6.985,
1992,7,7.028,7.002,7.020,6.985,
1992,8,7.047,7.003,7.020,6.985,
1992,9,7.045,7.003,7.020,6.986,
1992,10,7.104,7.003,7.020,6.986,
1992,11,6.984,7.003,7.021,6.986,
1992,12,6.991,7.004,7.021,6.987,
1993,1,6.970,7.004,7.021,6.987,
1993,2,6.957,7.004,7.021,6.987,
1993,3,6.967,7.004,7.021,6.988,
1993,4,7.001,7.005,7.021,6.988,
1993,5,6.959,7.005,7.022,6.988,
1993,7,7.025,7.005,7.022,6.989,
1993,8,7.060,7.006,7.022,6.989,
1993,9,7.009,7.006,7.022,6.989,
1993,10,7.020,7.006,7.022,6.990,
1993,11,7.020,7.006,7.023,6.990,
1993,12,7.066,7.007,7.023,6.990,
1994,1,7.062,7.007,7.023,6.991,
1994,2,7.064,7.007,7.023,6.991,
1994,3,7.029,7.007,7.023,6.991,
1994,4,7.008,7.008,7.023,6.992,
1994,5,6.927,7.008,7.024,6.992,
1994,6,6.938,7.008,7.024,6.992,
1994,8,6.923,7.008,7.024,6.993,
1994,9,6.966,7.009,7.024,6.993,
1994,10,6.900,7.009,7.025,6.993,
1994,11,6.811,7.009,7.025,6.994,
1994,12,6.914,7.009,7.025,6.994,
1995,1,6.902,7.010,7.025,6.994,
1995,2,6.989,7.010,7.025,6.995,
1995,3,7.045,7.010,7.025,6.995,
1995,4,7.062,7.010,7.026,6.995,
1995,5,7.017,7.011,7.026,6.995,
1995,6,7.035,7.011,7.026,6.996,
1995,7,7.059,7.011,7.026,6.996,
1995,8,7.058,7.011,7.026,6.996,
1995,9,7.036,7.012,7.027,6.997,
1995,10,7.047,7.012,7.027,6.997,
1995,11,7.121,7.012,7.027,6.997,
1995,12,7.025,7.012,7.027,6.998,
1996,1,6.984,7.013,7.027,6.998,
1996,2,7.008,7.013,7.027,6.998,
1996,3,6.965,7.013,7.028,6.998,
1996,4,7.031,7.013,7.028,6.999,
1996,5,7.058,7.014,7.028,6.999,
1996,6,6.955,7.014,7.028,6.999,
1996,7,7.041,7.014,7.028,7.000,
1996,8,7.033,7.014,7.029,7.000,
1996,9,7.098,7.015,7.029,7.000,
1996,10,7.098,7.015,7.029,7.000,
1996,11,7.100,7.015,7.029,7.001,
