Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
1984,11,7.025,6.984,6.995,6.973,
1984,12,7.010,6.984,6.996,6.973,
1985,1,6.954,6.985,6.996,6.974,
1985,2,6.974,6.985,6.996,6.974,
1985,3,7.113,6.985,6.996,6.974,
1985,4,7.012,6.986,6.996,6.975,
1985,5,7.018,6.986,6.997,6.975,
1985,6,6.980,6.986,6.997,6.975,
1985,7,7.013,6.986,6.997,6.976,
1985,8,6.986,6.987,6.997,6.976,
1985,9,7.019,6.987,6.998,6.976,
1985,10,6.992,6.987,6.998,6.977,
1985,11,6.945,6.988,6.998,6.977,
1985,12,6.982,6.988,6.998,6.977,
1986,1,7.050,6.988,6.999,6.978,
1986,2,6.961,6.988,6.999,6.978,
1986,3,7.044,6.989,6.999,6.978,
1986,4,6.992,6.989,6.999,6.979,
1986,5,6.930,6.989,7.000,6.979,
1986,6,7.014,6.990,7.000,6.979,
1986,7,6.981,6.990,7.000,6.980,
1986,8,6.981,6.990,7.000,6.980,
1986,9,7.005,6.990,7.001,6.980,
1986,10,6.983,6.991,7.001,6.981,
1986,11,7.019,6.991,7.001,6.981,
1986,12,6.985,6.991,7.001,6.981,
1987,1,7.012,6.992,7.002,6.981,
1987,2,6.948,6.992,7.002,6.982,
1987,3,6.922,6.992,7.002,6.982,
1987,4,7.001,6.992,7.002,6.982,
1987,5,6.988,6.993,7.003,6.983,
1987,6,7.015,6.993,7.003,6.983,
1987,7,6.973,6.993,7.003,6.983,
1987,8,7.005,6.994,7.003,6.984,
1987,9,6.970,6.994,7.004,6.984,
1987,10,6.973,6.994,7.004,6.984,
1987,11,6.914,6.994,7.004,6.985,
1987,12,7.119,6.995,7.004,6.985,
1988,1,6.976,6.995,7.005,6.985,
1988,2,7.012,6.995,7.005,6.986,
1988,3,7.035,6.996,7.005,6.986,
1988,4,7.065,6.996,7.005,6.986,
1988,5,6.968,6.996,7.006,6.987,
1988,6,7.002,6.996,7.006,6.987,
