Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
1984,1,6.979,6.917,6.946,6.888,
1984,2,6.978,6.917,6.946,6.889,
1984,3,7.031,6.917,6.946,6.889,
1984,4,6.995,6.918,6.946,6.889,
1984,5,6.984,6.918,6.946,6.890,
1984,6,6.972,6.918,6.946,6.890,
1984,7,6.984,6.918,6.946,6.890,
1984,8,7.003,6.919,6.947,6.891,
1984,9,7.028,6.919,6.947,6.891,
1984,10,7.034,6.919,6.947,6.891,
1984,11,6.866,6.919,6.947,6.891,
1984,12,6.955,6.919,6.947,6.892,
1985,1,6.903,6.920,6.947,6.892,
1985,2,6.979,6.920,6.947,6.892,
1985,3,6.980,6.920,6.947,6.893,
1985,4,6.934,6.920,6.947,6.893,
1985,5,6.918,6.920,6.947,6.893,
1985,6,7.070,6.921,6.948,6.894,
1985,7,6.996,6.921,6.948,6.894,
1985,8,6.905,6.921,6.948,6.894,
1985,9,6.950,6.921,6.948,6.895,
1985,10,6.980,6.921,6.948,6.895,
1985,11,6.961,6.922,6.948,6.895,
1985,12,6.912,6.922,6.948,6.896,
1986,1,6.903,6.922,6.948,6.896,
1986,2,6.891,6.922,6.948,6.896,
1986,3,6.895,6.922,6.948,6.896,
1986,4,6.924,6.923,6.949,6.897,
1986,5,6.905,6.923,6.949,6.897,
1986,6,6.902,6.923,6.949,6.897,
1986,7,6.980,6.923,6.949,6.898,
1986,8,7.002,6.924,6.949,6.898,
1986,9,6.940,6.924,6.949,6.898,
1986,10,6.925,6.924,6.949,6.899,
1986,11,6.949,6.924,6.949,6.899,
1986,12,6.771,6.924,6.949,6.899,
1987,1,6.812,6.925,6.950,6.900,
1987,2,6.875,6.925,6.950,6.900,
1987,3,6.819,6.925,6.950,6.900,
1987,4,6.795,6.925,6.950,6.901,
1987,5,6.838,6.925,6.950,6.901,
1987,6,6.889,6.926,6.950,6.901,
1987,7,6.973,6.926,6.950,6.901,
1987,8,6.881,6.926,6.950,6.902,
1987,9,6.853,6.926,6.950,6.902,
1987,10,6.847,6.926,6.951,6.902,
1987,11,7.029,6.927,6.951,6.903,
1987,12,7.008,6.927,6.951,6.903,
1988,1,6.963,6.927,6.951,6.903,
1988,2,6.979,6.927,6.951,6.904,
1988,3,6.947,6.927,6.951,6.904,
1988,4,6.942,6.928,6.951,6.904,
1988,5,6.976,6.928,6.951,6.905,
1988,6,6.975,6.928,6.951,6.905,
1988,7,6.901,6.928,6.952,6.905,
1988,8,6.911,6.929,6.952,6.905,
1988,9,6.915,6.929,6.952,6.906,
1988,10,7.023,6.929,6.952,6.906,
1988,11,7.040,6.929,6.952,6.906,
1988,12,6.949,6.929,6.952,6.907,
1989,1,6.949,6.930,6.952,6.907,
1989,2,6.942,6.930,6.952,6.907,
1989,3,6.959,6.930,6.952,6.908,
1989,4,6.961,6.930,6.953,6.908,
1989,5,6.984,6.930,6.953,6.908,
1989,6,7.007,6.931,6.953,6.908,
1989,7,6.995,6.931,6.953,6.909,
1989,8,6.951,6.931,6.953,6.909,
1989,9,6.929,6.931,6.953,6.909,
1989,10,6.932,6.931,6.953,6.910,
1989,11,6.968,6.932,6.953,6.910,
1989,12,6.814,6.932,6.953,6.910,
1990,1,6.877,6.932,6.954,6.911,
1990,2,6.848,6.932,6.954,6.911,
1990,3,6.848,6.932,6.954,6.911,
1990,4,6.943,6.933,6.954,6.911,
1990,5,6.937,6.933,6.954,6.912,
1990,6,6.985,6.933,6.954,6.912,
1990,7,6.908,6.933,6.954,6.912,
1990,8,6.994,6.934,6.954,6.913,
1990,9,6.944,6.934,6.955,6.913,
1990,10,6.906,6.934,6.955,6.913,
1990,11,6.941,6.934,6.955,6.914,
1990,12,6.869,6.934,6.955,6.914,
1991,1,6.883,6.935,6.955,6.914,
1991,2,6.932,6.935,6.955,6.914,
1991,3,6.891,6.935,6.955,6.915,
1991,4,6.937,6.935,6.955,6.915,
1991,5,6.871,6.935,6.956,6.915,
1991,6,6.927,6.936,6.956,6.916,
1991,7,6.885,6.936,6.956,6.916,
1991,8,6.861,6.936,6.956,6.916,
1991,9,6.940,6.936,6.956,6.916,
